,title,link,description,pubDate,realDate
35,"정주연, Disney+ ‘화인가 스캔들’ 뜬다",https://m.entertain.naver.com/article/144/0000966371,배우 정주연이 Disney+(디즈니플러스) 신작 ‘화인가 스캔들’에 캐스팅 됐다. 5일 배우 정주연이 오는 7월 첫... 한편 ‘화인가 스캔들’은 10부작으로 오는 7월3일부터 매주 수요일 2편씩 Disney+에서 공개된다.,2024-06,2024-06-05
36,"Korea Heritage Service, Disney Korea join hands",https://www.koreatimes.co.kr/www/culture/2024/06/262_376169.html?na,The KHS also announced a collaboration with Walt Disney Company Korea to enhance the cultural impact of Korean heritage through Disney brands and to develop joint content and products. Courtesy... ,2024-06,2024-06-07
37,"The Best Movies and TV Shows Coming to Amazon, AMC+, Disney+, Hulu, and M...",https://www.nytimes.com/2024/06/01/arts/television/june-stsreaming-movies-tv-shows.html?partner=naver,to Disney+ ‘The Acolyte’ Season 1 Starts streaming: June 4 The latest “Star Wars” TV... 28 “Disney Jr.’s Ariel” Season 1 June 29 “Zombies: The Re-Animated Series” Season 1 New... ,2024-06,2024-06-01
38,"For a Story on Disney, a Writer Tests New Waters",https://www.nytimes.com/2024/06/19/insider/disney-tiana-bayou-adventure.html?partner=naver,"When Walt Disney World replaced a ride that was based on a racist film with a new attraction... I suppose I qualify as a Disney Adult, the pejorative term for grown-ups who visit Disney theme... ",2024-06,2024-06-20
39,‘Splash Mountain’: Disney dedicará la atracción a la princesa Tiana,https://www.nytimes.com/es/2024/06/17/espanol/disney-world-splash-mountain-princesa-tiana.html?partner=naver,"Disney la reformó para centrarla en Tiana, su primera princesa negra, lo que suscitó elogios y... Walt Disney Co. anunció que eliminaría Splash Mountain, una atracción muy popular con... ",2024-06,2024-06-17
40,"Action, drama, romance: Cast of Disney+ drama 'Red Swan' remain confident...",https://m.entertain.naver.com/article/640/0000055864,"Amid the unfortunate lack of success of Disney+'s original Korean series after the hit show... “I hope that ‘Red Swan’ becomes the most successful series on Disney+ this year,” singer and... ",2024-07,2024-07-03
41,'I gave it my all': Cho Jin-woong steps into Disney+ role after 'Parasite...,https://m.entertain.naver.com/article/640/0000056755,But Cho Jin-woong's character Baek Joong-sik in the upcoming Disney+ thriller series “No Way... Two episodes will be released every Wednesday on Disney+. The show is directed by Choi Kook-hee... ,2024-07,2024-07-24
42,"N.B.A. Announces Lucrative Rights Deals With Disney, Comcast and Amazon",https://www.nytimes.com/2024/07/24/business/nba-tv-rights.html?partner=naver,"The National Basketball Association announced new rights agreements with Disney, Comcast and... new Disney and NBCUniversal arrangements.” (NBCUniversal is owned by Comcast.) “All three... ",2024-07,2024-07-25
43,Disney+'s 'Moving' wins grand prize at Blue Dragon Series Awards,https://n.news.naver.com/mnews/article/001/0014818219?sid=104,"OTT series-awards Disney+'s 'Moving' wins grand prize at Blue Dragon Series Awards SEOUL, July 19 (Yonhap) -- The Disney+ sci-fi action series &quot;Moving&quot; clinched the grand prize at the third... ",2024-07,2024-07-19
44,Action director Park Hoon-jung's 'The Tyrant' to be released on Disney+ i...,https://m.entertain.naver.com/article/640/0000056024,"Streaming platform Disney+ will release a new Korean original series, “The Tyrant,” on Aug. 14, the Walt Disney Company Korea said Monday. Action series “The Tyrant” follows the battle to... ",2024-07,2024-07-08
